	Col-0h	Col-12h	Col-24h	28-0h	28-12h	28-24h	60-0h	60-12h	60-24h
AT5G41460	-0.379778215	-1.430450136	-0.427088366	-0.2416481	-1.948200936	-0.985923763	-0.27237724	-1.866361553	-0.473896271
AT5G41470	0.352472597	1.151618915	0.246758271	-0.1610772	0.217620582	1.601286635	0.009009358	0.374965505	0.52119158
AT5G41550	0.093686061	0.738833582	0.805958824	0.820542	1.761013948	1.338189808	0.379282219	1.508430432	1.819513137
AT5G41570	-1.388911128	-0.253592771	0.090433346	-0.5835559	-0.711884621	-0.592365543	-0.283841101	-0.791996539	0.546489538
AT5G41610	0.531953872	0.522090119	1.382309983	0.7979626	1.27193373	2.276691537	0.566170659	1.689661841	2.200025327
AT5G41620	0.035221144	-0.536225968	-1.146773772	0.1481581	-0.802431882	-0.793760638	0.187265715	-0.42172603	-0.552165136
AT5G41680	-0.570245775	0.763413553	0.774688668	-0.310573	1.265332851	-0.219198264	-0.566518533	0.469352864	0.05324348
AT5G41730	-0.616443168	0.877274477	0.666994475	-0.4752318	0.772585159	0.925431579	0.006010719	0.468226087	1.670040846
AT5G41740	-0.022995829	1.754498307	2.019258436	0.2196725	1.527612869	1.872071621	0.027402462	0.89472335	1.907631918
AT5G41750	0.477474235	4.418447026	4.590615574	0.8561911	4.328421449	4.808978167	0.246539554	2.647222048	3.811659055
AT5G41761	-0.150694457	2.104721979	0.202832409	0.3964783	0.609397439	-0.938127157	0.396411542	-0.78193863	-1.10584355
AT5G41860	-0.114822182	0.793603377	1.881560608	-0.075319	1.230635443	1.037804103	-0.09579201	0.853083956	0.827338218
AT5G41900	-0.13872641	-1.49142295	-1.514859819	-0.3179808	-2.750847139	-2.019672149	-0.533519674	-2.121108143	-1.424368916
AT5G41920	-0.056285076	-0.705878469	-1.159102356	0.4434865	-0.941929226	-0.927477288	0.060679853	-0.927981701	-0.701318309
AT5G42010	-0.184483131	2.005313814	1.831731161	0.1033264	2.2833415	1.687248115	-0.054123462	2.054015102	1.427887897
AT5G42020	2.786833084	2.875614993	2.661982149	2.517545	2.715987254	1.75541337	2.541259604	3.133369785	2.185530001
AT5G42040	0.28238318	0.927227053	-0.232270303	0.7529614	0.776618748	0.483796049	0.880893606	0.842743664	1.333304105
AT5G42050	1.850007529	2.326472046	2.887553803	2.700845	2.769687821	2.65704798	1.160425896	2.34297367	2.627883925
AT5G42070	-0.071140813	-1.07019992	-1.042082248	-0.357154	-1.887405436	-1.31239186	-0.001885162	-2.112938449	-0.775508724
AT5G42090	0.399273271	0.634764956	0.734837975	0.1679594	1.086874576	0.893351642	0.289366906	1.2205753	0.681911984
AT5G42100	-0.314422669	-1.065160929	-0.354561245	-0.3592569	-1.222271643	-0.493646722	-0.491780811	-1.334925832	-0.701524543
AT5G42110	-0.458262343	-1.002595632	0.034331097	-0.3049965	-0.95493146	-0.564656486	-0.061694369	-1.274063342	-0.883506972
AT5G42140	-0.028935437	0.937500117	0.589162762	0.04963928	1.124389852	0.858630265	-0.136431735	1.149426553	0.45442093
AT5G42146	-0.384045103	-0.581490705	-0.588236766	-0.5077088	-0.600847806	-0.36955098	-0.777805078	-1.076751302	-0.627343905
AT5G42150	0.148474322	0.594831766	0.991553631	0.1581141	0.654542866	1.1138506	-0.049258307	0.680547861	0.681943084
AT5G42180	-1.888627018	-0.561581018	-0.286410126	-2.592614	-1.112676174	-2.393861343	-1.471024557	-1.377683465	-1.406710825
AT5G42200	-0.532079473	-1.100088631	-0.602653666	-0.02181734	-0.697584422	-0.860438603	0.296582279	-1.05264172	-1.083491424
AT5G42250	-0.373561192	0.007913146	-0.308886149	-0.2771023	-0.014755741	-1.038087021	-0.171381089	-0.545684385	-0.639829001
AT5G42270	-0.079185653	-0.574951775	-0.781003115	-0.01456843	-0.936908522	-0.938236945	-0.026364661	-1.309735078	-0.523829478
AT5G42300	-0.200556256	0.276953255	1.089434207	0.05254392	0.698829823	0.922584965	0.095943093	0.676681244	0.871658348
AT5G42310	-0.032384789	-0.761735273	-0.691274836	-0.001069541	-1.239423442	-0.602658039	-0.034149281	-1.314475233	-0.472765683
AT5G42370	0.264394825	0.316444647	0.835845835	-0.1919249	0.424369262	1.077116255	-0.180384637	0.902616956	0.710075691
AT5G42380	0.227689577	3.702803804	5.125450631	2.20609	5.728321328	8.589931218	1.383830962	3.246488929	4.239466696
AT5G42440	0.460931358	2.442209824	1.711524513	0.1919631	2.251222484	1.156297674	0.271902006	1.733168864	1.149308165
AT5G42500	-1.183142497	-1.222022747	-0.847718525	-1.256324	-2.150096745	-3.027855596	-1.130531202	-2.382365848	-2.215438367
AT5G42510	-1.838420958	-1.89463936	-0.563293201	-1.392753	-5.958487169	-2.283431456	-2.489348069	-3.773126791	-1.126229746
AT5G42530	-0.240287291	1.625329129	3.49773049	-0.5231097	1.325853501	3.487371413	-0.094441401	-0.787725674	3.023741262
